Microsoft (R) COFF/PE Dumper Version 14.00.24215.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdiplus.dll

File Type: DLL

  Section contains the following exports for gdiplus.dll

    00000000 characteristics
    403E3D73 time date stamp Fri Feb 27 02:39:47 2004
        0.00 version
           1 ordinal base
         609 number of functions
         609 number of names

    ordinal hint RVA      name

        205   CD 000A0A61 GdipFillClosedCurve2
        206   CE 000A0B81 GdipFillClosedCurve2I
        208   CF 0001B7FA GdipFillClosedCurveI
        209   D0 000A090C GdipFillEllipse
        210   D1 000A0A1C GdipFillEllipseI
        211   D2 0002841B GdipFillPath
        212   D3 0001B1D7 GdipFillPie
        213   D4 0001B2A8 GdipFillPieI
        216   D5 0002FA12 GdipFillPolygon
        214   D6 000A075F GdipFillPolygon2
        215   D7 000A0876 GdipFillPolygon2I
        217   D8 0002FAD4 GdipFillPolygonI
        218   D9 0005B477 GdipFillRectangle
        219   DA 0005DFB4 GdipFillRectangleI
        220   DB 000A05A6 GdipFillRectangles
        221   DC 000A06BC GdipFillRectanglesI
        222   DD 0001D18D GdipFillRegion
        223   DE 0000F738 GdipFlattenPath
        224   DF 0009EF09 GdipFlush
        225   E0 00031B52 GdipFree
        226   E1 0009CFE7 GdipGetAdjustableArrowCapFillState
        227   E2 0009CD0E GdipGetAdjustableArrowCapHeight
        228   E3 0009CEC9 GdipGetAdjustableArrowCapMiddleInset
        229   E4 0009CE30 GdipGetAdjustableArrowCapWidth
        230   E5 0009DA2D GdipGetAllPropertyItems
        231   E6 00099F40 GdipGetBrushType
        232   E7 000A3FD7 GdipGetCellAscent
        233   E8 000A4057 GdipGetCellDescent
        234   E9 00060448 GdipGetClip
        235   EA 000A2717 GdipGetClipBounds
        236   EB 000A27AF GdipGetClipBoundsI
        237   EC 0009F0BD GdipGetCompositingMode
        238   ED 0009F153 GdipGetCompositingQuality
        239   EE 0009CA47 GdipGetCustomLineCapBaseCap
        240   EF 0009CADD GdipGetCustomLineCapBaseInset
