Microsoft (R) COFF/PE Dumper Version 14.00.24215.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdi32.dll

File Type: DLL

  Section contains the following exports for GDI32.dll

    00000000 characteristics
    55A5AF62 time date stamp Wed Jul 15 08:54:58 2015
        0.00 version
        1000 ordinal base
        1001 number of functions
         861 number of names

    ordinal hint RVA      name

       1329  13C 00010A60 DeleteEnhMetaFile
       1330  13D 00011DF0 DeleteMetaFile
       1331  13E 0001BE10 DeleteObject
       1332  13F 00088CF0 DescribePixelFormat
       1333  140 0004FAC0 DestroyOPMProtectedOutput
       1334  141 0004FAD0 DestroyPhysicalMonitorInternal
       1335  142 00086800 DeviceCapabilitiesExA
       1336  143 00086800 DeviceCapabilitiesExW
       1337  144 00086940 DrawEscape
       1338  145 0000AC10 Ellipse
       1339  146 0004FC40 EnableEUDC
       1340  147 00046130 EndDoc
       1341  148 000869F0 EndFormPage
       1342  149 0004FC60 EndGdiRendering
       1343  14A 00086A00 EndPage
       1344  14B 00044060 EndPath
       1345  14C 0008D4E0 EngAcquireSemaphore
       1346  14D 0004FC80 EngAlphaBlend
       1347  14E 0004FC90 EngAssociateSurface
       1348  14F 0004FCA0 EngBitBlt
       1349  150 0004FCB0 EngCheckAbort
       1350  151 0008D4F0 EngComputeGlyphSet
       1351  152 0004FCD0 EngCopyBits
       1352  153 0004FCE0 EngCreateBitmap
       1353  154 0004FCF0 EngCreateClip
       1354  155 0004FD00 EngCreateDeviceBitmap
       1355  156 0004FD10 EngCreateDeviceSurface
       1356  157 0004FD20 EngCreatePalette
       1357  158 0008D560 EngCreateSemaphore
       1358  159 0004FD30 EngDeleteClip
       1359  15A 0004FD40 EngDeletePalette
       1360  15B 0004FD50 EngDeletePath
       1361  15C 0008D5A0 EngDeleteSemaphore
       1362  15D 0004FD60 EngDeleteSurface
       1363  15E 0004FD70 EngEraseSurface
       1364  15F 0004FD80 EngFillPath
       1365  160 0008D5E0 EngFindResource
       1366  161 0008D680 EngFreeModule
       1367  162 0004BFB0 EngGetCurrentCodePage
       1368  163 0008D690 EngGetDriverName
       1369  164 0008D6C0 EngGetPrinterDataFileName
       1370  165 0004FD90 EngGradientFill
       1371  166 0004FDA0 EngLineTo
       1372  167 0008D6F0 EngLoadModule
       1373  168 0004FDB0 EngLockSurface
       1374  169 0004FDC0 EngMarkBandingSurface
       1375  16A 0008D710 EngMultiByteToUnicodeN
       1376  16B 0008D720 EngMultiByteToWideChar
       1377  16C 0004FDD0 EngPaint
       1378  16D 0004FDE0 EngPlgBlt
       1379  16E 00051C60 EngQueryEMFInfo
       1380  16F 0008D760 EngQueryLocalTime
       1381  170 0008D7F0 EngReleaseSemaphore
       1382  171 0004FDF0 EngStretchBlt
       1383  172 0004FE00 EngStretchBltROP
       1384  173 0004FE10 EngStrokeAndFillPath
       1385  174 0004FE20 EngStrokePath
       1386  175 0004FE30 EngTextOut
       1387  176 0004FE40 EngTransparentBlt
       1388  177 0008D800 EngUnicodeToMultiByteN
       1389  178 0004FE50 EngUnlockSurface
       1390  179 0008D810 EngWideCharToMultiByte
       1391  17A 00010B80 EnumEnhMetaFile
       1392  17B 00079100 EnumFontFamiliesA
       1393  17C 00041BF0 EnumFontFamiliesExA
       1394  17D 00041CD0 EnumFontFamiliesExW
       1395  17E 00041BC0 EnumFontFamiliesW
       1396  17F 00079130 EnumFontsA
       1397  180 00079160 EnumFontsW
       1398  181 0007AF30 EnumICMProfilesA
       1399  182 0007AFD0 EnumICMProfilesW
       1400  183 00008880 EnumMetaFile
       1401  184 00085980 EnumObjects
       1402  185 00045A70 EqualRgn
       1403  186 00086A10 Escape
       1404  187 00089690 EudcLoadLinkW
       1405  188 000896F0 EudcUnloadLinkW
       1406  189 00043EF0 ExcludeClipRect
       1407  18A 00085AA0 ExtCreatePen
       1408  18B 0001B300 ExtCreateRegion
       1409  18C 0004C180 ExtEscape
       1410  18D 000870D0 ExtFloodFill
       1411  18E 0001C760 ExtSelectClipRgn
       1412  18F 00008810 ExtTextOutA
       1413  190 00024B10 ExtTextOutW
       1414  191 0004FEA0 FONTOBJ_cGetAllGlyphHandles
       1415  192 0004FEB0 FONTOBJ_cGetGlyphs
       1416  193 0004FEC0 FONTOBJ_pQueryGlyphAttrs
       1417  194 0004FED0 FONTOBJ_pfdg
       1418  195 0004FEE0 FONTOBJ_pifi
       1419  196 0004FEF0 FONTOBJ_pvTrueTypeFontFile
       1420  197 0004FF00 FONTOBJ_pxoGetXform
       1421  198 0004FF10 FONTOBJ_vGetInfo
       1422  199 00044C00 FillPath
       1423  19A 00087260 FillRgn
       1424  19B 00051C60 FixBrushOrgEx
       1425  19C 00088960 FlattenPath
       1426  19D 00087360 FloodFill
       1427  19E 00079190 FontIsLinked
       1428  19F 00087380 FrameRgn
       1429  1A0 0004C480 GdiAddFontResourceW
       1430  1A1 000908C0 GdiAddGlsBounds
       1431  1A2 000908F0 GdiAddGlsRecord
       1432  1A3 0003F940 GdiAlphaBlend
       1433  1A4 0009BC10 GdiArtificialDecrementDriver
       1434  1A5 00082390 GdiCleanCacheDC
       1435  1A6 000443A0 GdiClearStockObjectCache
       1436  1A7 0004A750 GdiComment
       1437  1A8 000874A0 GdiConsoleTextOut
       1438  1A9 000441D0 GdiConvertAndCheckDC
       1439  1AA 000823C0 GdiConvertBitmap
       1440  1AB 0007B070 GdiConvertBitmapV5
       1441  1AC 000823C0 GdiConvertBrush
       1442  1AD 000823C0 GdiConvertDC
       1443  1AE 00094F30 GdiConvertEnhMetaFile
       1444  1AF 000823C0 GdiConvertFont
       1445  1B0 00094FB0 GdiConvertMetaFilePict
       1446  1B1 000823C0 GdiConvertPalette
       1447  1B2 000823C0 GdiConvertRegion
       1448  1B3 00085C20 GdiConvertToDevmodeW
       1449  1B4 00095050 GdiCreateLocalEnhMetaFile
       1450  1B5 00095060 GdiCreateLocalMetaFilePict
       1451  1B6 0004CFE0 GdiDeleteLocalDC
       1452  1B7 0004BB40 GdiDeleteSpoolFileHandle
       1453  1B8 00088D80 GdiDescribePixelFormat
       1454  1B9 0001BA30 GdiDllInitialize
       1455  1BA 00040DB0 GdiDrawStream
       1456  1BB 00045FD0 GdiEndDocEMF
       1457  1BC 00046AA0 GdiEndPageEMF
       1458  1BD 00077930 GdiEntry1
       1459  1BE 000779E0 GdiEntry10
       1460  1BF 00077A00 GdiEntry11
       1461  1C0 00077A70 GdiEntry12
       1462  1C1 000411F0 GdiEntry13
       1463  1C2 00077A90 GdiEntry14
       1464  1C3 00077AD0 GdiEntry15
       1465  1C4 0004CFE0 GdiEntry16
       1466  1C5 00077B00 GdiEntry2
       1467  1C6 000781B0 GdiEntry3
       1468  1C7 00078200 GdiEntry4
       1469  1C8 00078210 GdiEntry5
       1470  1C9 00078240 GdiEntry6
       1471  1CA 00078250 GdiEntry7
       1472  1CB 00078260 GdiEntry8
       1473  1CC 00078270 GdiEntry9
       1474  1CD 00040C90 GdiFixUpHandle
